feature,importance
stscd,0.14805591507047597
stocn,0.14378430037532458
conam,0.08765987063783429
scity,0.08242510012891613
csmam,0.06648608461196824
csmcu,0.060810510359987066
mcc,0.05808949281454952
loctm,0.05710302060631838
acqic,0.048811154990982195
cano_count,0.04725679648619025
cano,0.046165056957160625
mchno,0.04259871007587488
etymd,0.020478396767144035
freq_perday,0.01773752546233875
diff_conam,0.015982874439351816
hcefg,0.012081752537249843
ecfg,0.01136693552356174
Is_First_Occurrence,0.008652358606491762
is_city_first_appearance,0.008195522379813415
is_csmcu_first_appearance,0.007329807990793098
contp,0.004357654611156963
flg_3dsmk,0.0032991031071023854
ovrlt,0.0012720554594143109
