feature,importance
stscd,0.14793862692359205
stocn,0.1433585784469257
conam,0.08839624098202796
scity,0.08285672912233492
csmam,0.0661049708828695
csmcu,0.060971768319767757
mcc,0.0580809197612785
loctm,0.056667253771702175
acqic,0.0488535310315198
cano_count,0.047396446101112794
cano,0.046231405052207186
mchno,0.042538167027916136
etymd,0.020533074401198243
freq_perday,0.017693185914334705
diff_conam,0.015965290912533733
hcefg,0.012019389258350097
ecfg,0.011377666854856716
Is_First_Occurrence,0.008611023876826015
is_city_first_appearance,0.008237909412751826
is_csmcu_first_appearance,0.007183963603152012
contp,0.004363999608519053
flg_3dsmk,0.0033118006828507887
ovrlt,0.0013080580513723902
