feature,importance
stscd,0.23854903063133692
stocn,0.21989099321800634
conam,0.08825471969387744
scity,0.06815662596207944
cano_count,0.0610632828129065
csmam,0.05699222612042859
mcc,0.0452447249961403
cano,0.04365682112667027
loctm,0.04343082463922828
acqic,0.03422339326649929
mchno,0.027553868427525562
csmcu,0.02381366446008561
diff_conam,0.010424733104869362
freq_perday,0.010137780596623161
etymd,0.009239147511428621
hcefg,0.007073273743812262
ecfg,0.003588742764387448
is_city_first_appearance,0.003277460409903433
is_csmcu_first_appearance,0.0019173863677444127
Is_First_Occurrence,0.0010318830802528447
contp,0.0009376154495734882
flg_3dsmk,0.0008672315602249741
ovrlt,0.0006745700563952807
